,id,start,end,gene_name,product,strand,locus_tag,interval
467,cds-WP_003084070.1,259786,260577,pcaD,3-oxoadipate enol-lactonase,+,NCGM2_RS01165,"[259786, 260577]"
469,cds-WP_003084072.1,260588,260989,pcaC,4-carboxymuconolactone decarboxylase,+,NCGM2_RS01170,"[260588, 260989]"
471,cds-WP_003084073.1,261117,262058,,LysR family transcriptional regulator,+,NCGM2_RS01175,"[261117, 262058]"
473,cds-WP_003084075.1,262249,263082,,hypothetical protein,+,NCGM2_RS01180,"[262249, 263082]"
475,cds-WP_003084077.1,263323,264669,,MFS transporter,-,NCGM2_RS01185,"[263323, 264669]"
477,cds-WP_003084079.1,264975,265754,,IclR family transcriptional regulator,+,NCGM2_RS01190,"[264975, 265754]"
479,cds-WP_003084081.1,265998,267041,,Gfo/Idh/MocA family oxidoreductase,+,NCGM2_RS01195,"[265998, 267041]"
481,cds-WP_003084082.1,267064,267879,,sugar phosphate isomerase/epimerase,+,NCGM2_RS01200,"[267064, 267879]"
483,cds-WP_003084083.1,268029,268907,,DMT family transporter,+,NCGM2_RS01205,"[268029, 268907]"
485,cds-WP_003084084.1,268933,270183,,OprD family porin,-,NCGM2_RS01210,"[268933, 270183]"
487,cds-WP_003084085.1,270249,271574,,MFS transporter,-,NCGM2_RS01215,"[270249, 271574]"
489,cds-WP_003084086.1,272121,274025,,TIM barrel protein,+,NCGM2_RS01220,"[272121, 274025]"
491,cds-WP_003133062.1,274118,274786,,TetR/AcrR family transcriptional regulator,+,NCGM2_RS01225,"[274118, 274786]"
493,cds-NCGM2_RS01230,274826,275680,,shikimate dehydrogenase,-,NCGM2_RS01230,"[274826, 275680]"
495,cds-WP_003084089.1,275677,276123,aroQ,type II 3-dehydroquinate dehydratase,-,NCGM2_RS01235,"[275677, 276123]"
497,cds-WP_003084091.1,276240,277745,,MFS transporter,-,NCGM2_RS01240,"[276240, 277745]"
499,cds-WP_003084095.1,277920,279104,pobA,4-hydroxybenzoate 3-monooxygenase,-,NCGM2_RS01245,"[277920, 279104]"
501,cds-WP_003084097.1,279282,280148,,helix-turn-helix domain-containing protein,+,NCGM2_RS01250,"[279282, 280148]"
503,cds-WP_003084100.1,280145,280591,,GNAT family N-acetyltransferase,-,NCGM2_RS01255,"[280145, 280591]"
505,cds-WP_003084101.1,280669,281103,,CBS domain-containing protein,-,NCGM2_RS01260,"[280669, 281103]"
507,cds-WP_003084105.1,281268,281909,,suppressor of fused domain protein,-,NCGM2_RS01265,"[281268, 281909]"
509,cds-WP_021263260.1,282177,282464,,hypothetical protein,-,NCGM2_RS01270,"[282177, 282464]"
511,cds-WP_003118626.1,282556,283032,,MarR family transcriptional regulator,-,NCGM2_RS01275,"[282556, 283032]"
513,cds-WP_003084112.1,283073,284563,,UbiD family decarboxylase,-,NCGM2_RS01280,"[283073, 284563]"
515,cds-WP_003106170.1,284684,285370,,DUF1275 domain-containing protein,-,NCGM2_RS01285,"[284684, 285370]"
517,cds-WP_003084116.1,285534,286466,,hypothetical protein,-,NCGM2_RS01290,"[285534, 286466]"
519,cds-NCGM2_RS01295,286729,287102,,transposase family protein,-,NCGM2_RS01295,"[286729, 287102]"
521,cds-WP_087819173.1,287166,287415,,IS3 family transposase,+,NCGM2_RS01305,"[287166, 287415]"
522,cds-WP_087819173.1,287415,288304,,IS3 family transposase,+,NCGM2_RS01305,"[287415, 288304]"
524,cds-NCGM2_RS31545,288334,289112,,IS3 family transposase,-,NCGM2_RS31545,"[288334, 289112]"
526,cds-WP_003084122.1,289154,290596,,DUF2875 family protein,-,NCGM2_RS31550,"[289154, 290596]"
528,cds-WP_003084124.1,290746,292896,,DUF3274 domain-containing protein,-,NCGM2_RS01325,"[290746, 292896]"
530,cds-WP_003084126.1,292893,293390,,hypothetical protein,-,NCGM2_RS01330,"[292893, 293390]"
532,cds-WP_014603488.1,293394,296453,,type VI secretion system tip protein VgrG,-,NCGM2_RS01335,"[293394, 296453]"
534,cds-WP_003083317.1,296633,297151,,Hcp family type VI secretion system effector,-,NCGM2_RS01340,"[296633, 297151]"
536,cds-WP_023103838.1,298929,299174,,hypothetical protein,-,NCGM2_RS01345,"[298929, 299174]"
538,cds-WP_071536260.1,299819,301318,,DUF3375 domain-containing protein,+,NCGM2_RS01350,"[299819, 301318]"
540,cds-WP_031632260.1,301408,302070,,DUF4194 domain-containing protein,+,NCGM2_RS01355,"[301408, 302070]"
542,cds-WP_079264468.1,302067,305372,,AAA family ATPase,+,NCGM2_RS01360,"[302067, 305372]"
544,cds-WP_023103840.1,305356,306513,,hypothetical protein,+,NCGM2_RS01365,"[305356, 306513]"
546,cds-WP_023103841.1,306632,306865,,helix-turn-helix transcriptional regulator,-,NCGM2_RS01370,"[306632, 306865]"
548,cds-WP_099459024.1,307443,308132,,hypothetical protein,+,NCGM2_RS01375,"[307443, 308132]"
550,cds-WP_023103842.1,308308,309084,,M48 family metallopeptidase,-,NCGM2_RS01380,"[308308, 309084]"
552,cds-WP_003084148.1,309081,312356,,type I restriction endonuclease subunit R,-,NCGM2_RS01385,"[309081, 312356]"
554,cds-WP_003084150.1,312353,313852,,VWA domain-containing protein,-,NCGM2_RS01390,"[312353, 313852]"
556,cds-WP_003084152.1,313843,315378,,AAA domain-containing protein,-,NCGM2_RS01395,"[313843, 315378]"
558,cds-WP_003084153.1,315461,316555,,PD-(D/E)XK nuclease family protein,-,NCGM2_RS01400,"[315461, 316555]"
560,cds-WP_003084155.1,316592,317596,,virulence RhuM family protein,-,NCGM2_RS01405,"[316592, 317596]"
562,cds-WP_003084157.1,317598,318434,,haloacid dehalogenase-like hydrolase,-,NCGM2_RS01410,"[317598, 318434]"
564,cds-WP_071536259.1,318434,319642,,restriction endonuclease subunit S,-,NCGM2_RS01415,"[318434, 319642]"
566,cds-WP_003084161.1,319632,321155,,type I restriction-modification system subunit M,-,NCGM2_RS01420,"[319632, 321155]"
568,cds-WP_023103845.1,321159,321731,,restriction endonuclease subunit S,-,NCGM2_RS01425,"[321159, 321731]"
570,cds-WP_003084165.1,321775,322056,,hypothetical protein,-,NCGM2_RS01430,"[321775, 322056]"
572,cds-WP_023103846.1,322473,322655,,hypothetical protein,+,NCGM2_RS01435,"[322473, 322655]"
574,cds-WP_003084177.1,322814,323077,,hypothetical protein,+,NCGM2_RS01440,"[322814, 323077]"
576,cds-WP_023103847.1,323080,323682,,hypothetical protein,+,NCGM2_RS01445,"[323080, 323682]"
578,cds-WP_003084180.1,323804,324352,,hypothetical protein,-,NCGM2_RS01450,"[323804, 324352]"
580,cds-WP_071536258.1,324757,325224,,hypothetical protein,+,NCGM2_RS31555,"[324757, 325224]"
582,cds-NCGM2_RS31560,325221,326654,,hypothetical protein,+,NCGM2_RS31560,"[325221, 326654]"
584,cds-WP_063891405.1,326676,327668,,hypothetical protein,+,NCGM2_RS31435,"[326676, 327668]"
586,cds-WP_031632267.1,327653,330796,,tyrosine-type recombinase/integrase,+,NCGM2_RS01460,"[327653, 330796]"
588,cds-WP_003292745.1,330814,331026,,helix-turn-helix transcriptional regulator,-,NCGM2_RS01465,"[330814, 331026]"
590,cds-WP_001067855.1,331329,332033,,IS6-like element IS26 family transposase,+,NCGM2_RS01470,"[331329, 332033]"
592,cds-NCGM2_RS32750,332086,332232,,isomerase/hydrolase,-,NCGM2_RS32750,"[332086, 332232]"
594,cds-WP_014603495.1,332324,333718,,FAD-binding oxidoreductase,-,NCGM2_RS01475,"[332324, 333718]"
596,cds-WP_003084348.1,333922,335151,serA,phosphoglycerate dehydrogenase,+,NCGM2_RS01480,"[333922, 335151]"
598,cds-WP_003084345.1,335209,335646,,DUF4399 domain-containing protein,-,NCGM2_RS01485,"[335209, 335646]"
600,cds-WP_003084341.1,335939,336709,,cystine ABC transporter substrate-binding protein,+,NCGM2_RS01490,"[335939, 336709]"
602,cds-WP_003084339.1,336781,337473,,amino acid ABC transporter permease,+,NCGM2_RS01495,"[336781, 337473]"
604,cds-WP_003084333.1,337478,337972,,DUF523 domain-containing protein,-,NCGM2_RS01500,"[337478, 337972]"
606,cds-WP_003084327.1,338238,338792,,hypothetical protein,+,NCGM2_RS01505,"[338238, 338792]"
608,cds-WP_023656933.1,338814,339512,,proline hydroxylase,-,NCGM2_RS01510,"[338814, 339512]"
610,cds-WP_003084320.1,339561,340313,,hypothetical protein,+,NCGM2_RS01515,"[339561, 340313]"
612,cds-WP_003118763.1,340333,341352,,alpha/beta hydrolase,-,NCGM2_RS01520,"[340333, 341352]"
614,cds-WP_023098425.1,341351,341962,,hypothetical protein,+,NCGM2_RS01525,"[341351, 341962]"
616,cds-WP_003084314.1,342067,342570,,hypothetical protein,+,NCGM2_RS01530,"[342067, 342570]"
618,cds-WP_003084312.1,342549,343601,,AraC family transcriptional regulator,-,NCGM2_RS01535,"[342549, 343601]"
620,cds-WP_003084308.1,343712,346099,,penicillin acylase family protein,+,NCGM2_RS01540,"[343712, 346099]"
622,cds-WP_003084307.1,346277,347146,,ABC transporter permease subunit,-,NCGM2_RS01545,"[346277, 347146]"
624,cds-WP_003121722.1,347229,348110,,ABC transporter permease subunit,-,NCGM2_RS01550,"[347229, 348110]"
626,cds-WP_003084303.1,348137,349291,potA,polyamine ABC transporter ATP-binding protein,-,NCGM2_RS01555,"[348137, 349291]"
628,cds-WP_003084301.1,349346,350443,,polyamine ABC transporter substrate-binding protein,-,NCGM2_RS01560,"[349346, 350443]"
630,cds-WP_003084299.1,350862,351965,,polyamine ABC transporter substrate-binding protein,-,NCGM2_RS01565,"[350862, 351965]"
632,cds-WP_003084297.1,352081,353451,,aspartate aminotransferase family protein,-,NCGM2_RS01570,"[352081, 353451]"
634,cds-WP_003084290.1,353517,354875,,glutamine synthetase,-,NCGM2_RS01575,"[353517, 354875]"
636,cds-WP_003084285.1,354916,355668,,gamma-glutamyl-gamma-aminobutyrate hydrolase family protein,-,NCGM2_RS01580,"[354916, 355668]"
638,cds-WP_003112937.1,355947,357323,,glutamine synthetase,+,NCGM2_RS01585,"[355947, 357323]"
640,cds-WP_003084273.1,357579,358640,,polyamine ABC transporter substrate-binding protein,+,NCGM2_RS01590,"[357579, 358640]"
642,cds-WP_003084271.1,358701,359366,,TetR/AcrR family transcriptional regulator,+,NCGM2_RS01595,"[358701, 359366]"
644,cds-WP_003084270.1,359529,360407,aguB,N-carbamoylputrescine amidase,+,NCGM2_RS01600,"[359529, 360407]"
646,cds-WP_003084267.1,360493,361599,aguA,agmatine deiminase,+,NCGM2_RS01605,"[360493, 361599]"
648,cds-WP_003084265.1,361734,363116,,OprD family porin,-,NCGM2_RS01610,"[361734, 363116]"
650,cds-WP_003084261.1,363731,364702,,sensor domain-containing diguanylate cyclase,-,NCGM2_RS01615,"[363731, 364702]"
652,cds-WP_009315018.1,364815,365777,,LysR family transcriptional regulator,-,NCGM2_RS01620,"[364815, 365777]"
654,cds-WP_003084256.1,365830,366786,speB,agmatinase,-,NCGM2_RS01625,"[365830, 366786]"
656,cds-WP_003084254.1,366842,368227,,sodium:solute symporter,-,NCGM2_RS01630,"[366842, 368227]"
658,cds-WP_003084252.1,368456,369634,,aminotransferase,-,NCGM2_RS01635,"[368456, 369634]"
660,cds-WP_003084250.1,369806,372088,,EAL domain-containing protein,+,NCGM2_RS01640,"[369806, 372088]"
662,cds-WP_003084246.1,372252,372434,oscA,sulfur starvation response protein OscA,+,NCGM2_RS01645,"[372252, 372434]"
664,cds-WP_003084243.1,372611,373609,,sulfate ABC transporter substrate-binding protein,+,NCGM2_RS01650,"[372611, 373609]"
666,cds-WP_003084241.1,373771,374589,cysT,sulfate ABC transporter permease subunit CysT,+,NCGM2_RS01655,"[373771, 374589]"
668,cds-WP_003084239.1,374600,375469,cysW,sulfate ABC transporter permease subunit CysW,+,NCGM2_RS01660,"[374600, 375469]"
670,cds-WP_003084237.1,375473,376462,,sulfate ABC transporter ATP-binding protein,+,NCGM2_RS01665,"[375473, 376462]"
672,cds-WP_003112933.1,376476,377174,,helix-turn-helix transcriptional regulator,-,NCGM2_RS01670,"[376476, 377174]"
674,cds-WP_014603496.1,377268,378020,,sulfite exporter TauE/SafE family protein,+,NCGM2_RS01675,"[377268, 378020]"
676,cds-WP_003084230.1,378192,378950,,M48 family metallopeptidase,+,NCGM2_RS01680,"[378192, 378950]"
678,cds-WP_003084225.1,378990,379505,,DUF962 domain-containing protein,-,NCGM2_RS01685,"[378990, 379505]"
680,cds-WP_003084223.1,379581,380267,,Crp/Fnr family transcriptional regulator,+,NCGM2_RS01690,"[379581, 380267]"
682,cds-WP_003084221.1,380376,381146,,hypothetical protein,+,NCGM2_RS01695,"[380376, 381146]"
684,cds-NCGM2_RS01700,381309,382524,,CynX/NimT family MFS transporter,+,NCGM2_RS01700,"[381309, 382524]"
686,cds-WP_003084217.1,382574,383506,,LysR family transcriptional regulator,+,NCGM2_RS01705,"[382574, 383506]"
688,cds-WP_003084214.1,383503,383787,,hypothetical protein,-,NCGM2_RS01710,"[383503, 383787]"
690,cds-WP_003084212.1,383821,384228,,cupin domain-containing protein,-,NCGM2_RS01715,"[383821, 384228]"
692,cds-WP_003084211.1,384240,384677,,carboxymuconolactone decarboxylase family protein,-,NCGM2_RS01720,"[384240, 384677]"
694,cds-WP_003084208.1,384804,386225,,PLP-dependent aminotransferase family protein,+,NCGM2_RS01725,"[384804, 386225]"
696,cds-WP_003084206.1,386396,387595,,response regulator,-,NCGM2_RS01730,"[386396, 387595]"
698,cds-WP_003084201.1,387913,389193,gabT,4-aminobutyrate--2-oxoglutarate transaminase,-,NCGM2_RS01735,"[387913, 389193]"
700,cds-WP_003084198.1,389438,390889,gabD,NADP-dependent succinate-semialdehyde dehydrogenase,-,NCGM2_RS01740,"[389438, 390889]"
705,cds-WP_003084193.1,391992,392276,,hypothetical protein,-,NCGM2_RS01760,"[391992, 392276]"
707,cds-WP_003084192.1,392288,393448,,site-specific integrase,-,NCGM2_RS01765,"[392288, 393448]"
709,cds-WP_001067855.1-2,393644,394348,,IS6-like element IS26 family transposase,-,NCGM2_RS01770,"[393644, 394348]"
711,cds-NCGM2_RS01775,394414,396345,,AsmA family protein,+,NCGM2_RS01775,"[394414, 396345]"
713,cds-WP_003096098.1,396342,397409,mutY,A/G-specific adenine glycosylase,+,NCGM2_RS01780,"[396342, 397409]"
715,cds-WP_003096100.1,397453,397725,,oxidative damage protection protein,+,NCGM2_RS01785,"[397453, 397725]"
717,cds-WP_003096102.1,397753,398835,,oxidoreductase,+,NCGM2_RS01790,"[397753, 398835]"
722,cds-WP_003096103.1,399189,399638,,DUF4102 domain-containing protein,+,NCGM2_RS01800,"[399189, 399638]"
724,cds-WP_003096105.1,399625,400833,,integrase arm-type DNA-binding domain-containing protein,+,NCGM2_RS01805,"[399625, 400833]"
726,cds-WP_001067855.1-3,401293,401997,,IS6-like element IS26 family transposase,+,NCGM2_RS31595,"[401293, 401997]"
728,cds-NCGM2_RS01810,402050,402376,,AsmA family protein,-,NCGM2_RS01810,"[402050, 402376]"
730,cds-WP_003096094.1,402470,403576,,NAD(P)/FAD-dependent oxidoreductase,-,NCGM2_RS01815,"[402470, 403576]"
732,cds-WP_003096092.1,403573,403809,,hypothetical protein,-,NCGM2_RS01820,"[403573, 403809]"
734,cds-WP_009878269.1,403846,404244,,acetyl-CoA sensor PanZ family protein,-,NCGM2_RS01825,"[403846, 404244]"
736,cds-WP_003096088.1,404405,404998,hisB,imidazoleglycerol-phosphate dehydratase HisB,+,NCGM2_RS01830,"[404405, 404998]"
738,cds-WP_003096087.1,404998,405636,hisH,imidazole glycerol phosphate synthase subunit HisH,+,NCGM2_RS01835,"[404998, 405636]"
740,cds-WP_003096084.1,405640,405900,,DUF2164 domain-containing protein,+,NCGM2_RS01840,"[405640, 405900]"
742,cds-WP_003106336.1,405949,406686,hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,+,NCGM2_RS01845,"[405949, 406686]"
744,cds-WP_014603501.1,406697,407467,hisF,imidazole glycerol phosphate synthase subunit HisF,+,NCGM2_RS01850,"[406697, 407467]"
746,cds-WP_003111636.1,407639,408385,,ABC transporter substrate-binding protein,+,NCGM2_RS01855,"[407639, 408385]"
748,cds-WP_003106330.1,408476,409228,,ABC transporter substrate-binding protein,+,NCGM2_RS01860,"[408476, 409228]"
750,cds-WP_003096075.1,409378,410133,,ABC transporter substrate-binding protein,+,NCGM2_RS01865,"[409378, 410133]"
752,cds-WP_021263277.1,410174,411655,,hypothetical protein,-,NCGM2_RS01870,"[410174, 411655]"
754,cds-WP_003096069.1,411724,412497,,divergent polysaccharide deacetylase family protein,-,NCGM2_RS01875,"[411724, 412497]"
756,cds-WP_003096067.1,412497,413807,,S41 family peptidase,-,NCGM2_RS01880,"[412497, 413807]"
758,cds-WP_003123645.1,413836,415122,,murein hydrolase activator EnvC,-,NCGM2_RS01885,"[413836, 415122]"
760,cds-WP_003096062.1,415272,416090,,CPBP family intramembrane metalloprotease,-,NCGM2_RS01890,"[415272, 416090]"
762,cds-WP_003096060.1,416405,417952,,2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase,-,NCGM2_RS01895,"[416405, 417952]"
764,cds-WP_003096058.1,418277,418696,,rhodanese-like domain-containing protein,+,NCGM2_RS01900,"[418277, 418696]"
766,cds-WP_003096057.1,418698,418952,grxC,glutaredoxin 3,+,NCGM2_RS01905,"[418698, 418952]"
768,cds-WP_003096050.1,418989,419480,secB,protein-export chaperone SecB,+,NCGM2_RS01910,"[418989, 419480]"
770,cds-WP_003096047.1,419539,420000,trmL,tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL,-,NCGM2_RS01915,"[419539, 420000]"
772,cds-WP_003096038.1,419999,420466,,hypothetical protein,+,NCGM2_RS01920,"[419999, 420466]"
774,cds-WP_003104661.1,421423,422853,ntrC,nitrogen regulation protein NR(I),-,NCGM2_RS01925,"[421423, 422853]"
776,cds-WP_003096033.1,422856,423932,glnL,nitrogen regulation protein NR(II),-,NCGM2_RS01930,"[422856, 423932]"
778,cds-WP_003096027.1,424203,424775,,DUF4124 domain-containing protein,-,NCGM2_RS01935,"[424203, 424775]"
780,cds-WP_003096024.1,424772,425293,,DUF4124 domain-containing protein,-,NCGM2_RS01940,"[424772, 425293]"
782,cds-WP_003096022.1,425581,427788,,mechanosensitive ion channel family protein,+,NCGM2_RS01945,"[425581, 427788]"
784,cds-WP_003096019.1,427785,428189,,hypothetical protein,-,NCGM2_RS01950,"[427785, 428189]"
786,cds-WP_003096016.1,428337,429746,glnA,glutamate--ammonia ligase,-,NCGM2_RS01955,"[428337, 429746]"
788,cds-WP_003096011.1,430083,431537,thiI,tRNA 4-thiouridine(8) synthase ThiI,+,NCGM2_RS01960,"[430083, 431537]"
790,cds-WP_003096009.1,431754,433571,typA,translational GTPase TypA,+,NCGM2_RS01965,"[431754, 433571]"
792,cds-WP_003114472.1,433655,434080,,helix-turn-helix domain-containing protein,-,NCGM2_RS01970,"[433655, 434080]"
794,cds-WP_003096006.1,434164,434748,,class I SAM-dependent methyltransferase,+,NCGM2_RS01975,"[434164, 434748]"
796,cds-WP_014603502.1,434887,438492,,DUF2339 domain-containing protein,+,NCGM2_RS01980,"[434887, 438492]"
798,cds-WP_003095998.1,438489,439883,,DUF3999 domain-containing protein,+,NCGM2_RS01985,"[438489, 439883]"
800,cds-WP_003095996.1,439992,441932,,autotransporter domain-containing esterase,+,NCGM2_RS01990,"[439992, 441932]"
802,cds-WP_003095993.1,442086,442616,gloA,lactoylglutathione lyase,+,NCGM2_RS01995,"[442086, 442616]"
804,cds-WP_003095990.1,442756,443766,,class 1 fructose-bisphosphatase,+,NCGM2_RS02000,"[442756, 443766]"
806,cds-WP_003095987.1,443771,444373,,DUF924 family protein,+,NCGM2_RS02005,"[443771, 444373]"
808,cds-WP_003095983.1,444446,444703,,outer membrane protein assembly factor BamE,+,NCGM2_RS02010,"[444446, 444703]"
810,cds-WP_003095980.1,444700,445269,,lipocalin family protein,+,NCGM2_RS02015,"[444700, 445269]"
812,cds-WP_014603504.1,445412,446773,,formimidoylglutamate deiminase,-,NCGM2_RS02020,"[445412, 446773]"
814,cds-WP_003095970.1,446874,447626,hutC,histidine utilization repressor,+,NCGM2_RS02025,"[446874, 447626]"
816,cds-WP_003095969.1,447623,448213,,HutD family protein,+,NCGM2_RS02030,"[447623, 448213]"
818,cds-WP_003095966.1,448355,449377,,ABC transporter substrate-binding protein,+,NCGM2_RS02035,"[448355, 449377]"
820,cds-WP_003095963.1,449393,450331,,fatty acid desaturase,+,NCGM2_RS02040,"[449393, 450331]"
822,cds-WP_003095961.1,450350,451147,,phosphate/phosphite/phosphonate ABC transporter substrate-binding protein,+,NCGM2_RS02045,"[450350, 451147]"
824,cds-WP_003095958.1,451473,453152,hutU,urocanate hydratase,+,NCGM2_RS02050,"[451473, 453152]"
826,cds-WP_003095954.1,453260,454702,,cytosine permease,+,NCGM2_RS02055,"[453260, 454702]"
828,cds-WP_003095952.1,454799,456328,hutH,histidine ammonia-lyase,+,NCGM2_RS02060,"[454799, 456328]"
830,cds-WP_003095950.1,456391,457794,,amino acid permease,+,NCGM2_RS02065,"[456391, 457794]"
832,cds-WP_003095948.1,457912,458880,,ABC transporter substrate-binding protein,+,NCGM2_RS02070,"[457912, 458880]"
834,cds-WP_003095946.1,458905,459756,,proline/glycine betaine ABC transporter permease,+,NCGM2_RS02075,"[458905, 459756]"
836,cds-WP_003095945.1,459753,460583,,glycine betaine/L-proline ABC transporter ATP-binding protein,+,NCGM2_RS02080,"[459753, 460583]"
838,cds-WP_003101754.1,460580,462112,,histidine ammonia-lyase,+,NCGM2_RS02085,"[460580, 462112]"
840,cds-WP_003095941.1,462109,463317,,imidazolonepropionase,+,NCGM2_RS02090,"[462109, 463317]"
842,cds-WP_003095940.1,463310,464110,hutG,N-formylglutamate deformylase,+,NCGM2_RS02095,"[463310, 464110]"
844,cds-WP_003095938.1,464381,466753,,type VI secretion system tip protein VgrG,+,NCGM2_RS02100,"[464381, 466753]"
846,cds-WP_003095936.1,466750,468987,,hypothetical protein,+,NCGM2_RS02105,"[466750, 468987]"
848,cds-WP_033995805.1,468991,469866,,sel1 repeat family protein,+,NCGM2_RS02110,"[468991, 469866]"
850,cds-WP_031630384.1,469875,470744,,sel1 repeat family protein,+,NCGM2_RS02115,"[469875, 470744]"
852,cds-WP_051923461.1,470753,471622,,sel1 repeat family protein,+,NCGM2_RS31605,"[470753, 471622]"
854,cds-WP_003095930.1,471685,472641,,LysR family transcriptional regulator,-,NCGM2_RS02120,"[471685, 472641]"
